Last_Update,OBJECTID,Province_State,Country_Region,Lat,Long_,Confirmed,Recovered,Deaths
2020/05/09 22:32:32+00,160,,Indonesia,-0.7893,113.9213,13645,2607,959
2020/05/09 22:32:32+00,161,,Iran,32.427908,53.688046,106220,85064,6589
2020/05/09 22:32:32+00,162,,Iraq,33.223191,43.679291,2679,1702,107
2020/05/09 22:32:32+00,163,,Ireland,53.1424,-7.6921,22760,17110,1446
2020/05/09 22:32:32+00,164,,Israel,31.046051,34.851612,16454,11376,247
2020/05/09 22:32:32+00,165,,Italy,41.87194,12.56738,218268,103031,30395
2020/05/09 22:32:32+00,166,,Jamaica,18.1096,-77.2975,490,62,9
2020/05/09 22:32:32+00,167,,Japan,36.204824,138.252924,15575,5146,590
2020/05/09 22:32:32+00,168,,Jordan,31.24,36.51,522,387,9
2020/05/09 22:32:32+00,169,,Kazakhstan,48.0196,66.9237,4975,1776,31
2020/05/09 22:32:32+00,170,,Kenya,-0.0236,37.9062,649,207,30
2020/05/09 22:32:32+00,171,,"Korea, South",35.907757,127.766922,10840,9568,256
2020/05/09 22:32:32+00,172,,Kosovo,42.602636,20.902977,861,562,27
2020/05/09 22:32:32+00,173,,Kuwait,29.31166,47.481766,7623,2622,49
2020/05/09 22:32:32+00,174,,Kyrgyzstan,41.20438,74.766098,931,658,12
2020/05/09 22:32:32+00,175,,Laos,19.85627,102.495496,19,13,0
2020/05/09 22:32:32+00,176,,Latvia,56.8796,24.6032,930,464,18
2020/05/09 22:32:32+00,177,,Lebanon,33.8547,35.8623,809,234,26
2020/05/09 22:32:32+00,178,,Liberia,6.428055,-9.429499,199,79,20
2020/05/09 22:32:32+00,179,,Libya,26.3351,17.228331,64,24,3
2020/05/09 22:32:32+00,180,,Liechtenstein,47.14,9.55,82,55,1
2020/05/09 22:32:32+00,181,,Lithuania,55.1694,23.8813,1444,828,49
2020/05/09 22:32:32+00,182,,Luxembourg,49.8153,6.1296,3877,3550,101
2020/05/09 22:32:32+00,183,,MS Zaandam,,,9,0,2
2020/05/09 22:32:32+00,184,,Madagascar,-18.766947,46.869107,193,101,0
2020/05/09 22:32:32+00,185,,Malawi,-13.254308,34.301525,56,14,3
2020/05/09 22:32:32+00,186,,Malaysia,4.210484,101.975766,6589,4929,108
2020/05/09 22:32:32+00,187,,Maldives,3.2028,73.2207,790,29,3
2020/05/09 22:32:32+00,188,,Mali,17.570692,-3.996166,692,298,37
2020/05/09 22:32:32+00,189,,Malta,35.9375,14.3754,490,427,5
2020/05/09 22:32:32+00,190,,Mauritania,21.0079,-10.9408,8,6,1
2020/05/09 22:32:32+00,191,,Mauritius,-20.348404,57.552152,332,320,10
2020/05/09 22:32:32+00,192,,Mexico,23.6345,-102.5528,31522,20314,3160
2020/05/09 22:32:32+00,193,,Moldova,47.4116,28.3699,4867,1925,161
2020/05/09 22:32:32+00,194,,Monaco,43.7333,7.4167,96,82,4
2020/05/09 22:32:32+00,195,,Mongolia,46.8625,103.8467,42,14,0
2020/05/09 22:32:32+00,196,,Montenegro,42.708678,19.37439,324,274,8
2020/05/09 22:32:32+00,197,,Morocco,31.7917,-7.0926,5910,2461,186
2020/05/09 22:32:32+00,198,,Mozambique,-18.665695,35.529562,87,34,0
2020/05/09 22:32:32+00,199,,Namibia,-22.9576,18.4904,16,10,0
2020/05/09 22:32:32+00,200,,Nepal,28.1667,84.25,109,31,0
2020/05/09 22:32:32+00,201,,Netherlands,52.1326,5.2913,42382,0,5422
2020/05/09 22:32:32+00,202,,New Zealand,-40.9006,174.886,1492,1368,21
2020/05/09 22:32:32+00,203,,Nicaragua,12.865416,-85.207229,16,7,5
2020/05/09 22:32:32+00,204,,Niger,17.607789,8.081666,815,617,45
2020/05/09 22:32:32+00,205,,Nigeria,9.082,8.6753,4151,745,128
2020/05/09 22:32:32+00,206,,North Macedonia,41.6086,21.7453,1622,1112,91
2020/05/09 22:32:32+00,207,,Norway,60.472,8.4689,8084,32,219
2020/05/09 22:32:32+00,208,,Oman,21.512583,55.923255,3224,1068,17
2020/05/09 22:32:32+00,209,,Pakistan,30.3753,69.3451,28736,7809,636
2020/05/09 22:32:32+00,210,,Panama,8.538,-80.7821,8070,886,231
2020/05/09 22:32:32+00,211,,Papua New Guinea,-6.314993,143.95555,8,8,0
2020/05/09 22:32:32+00,212,,Paraguay,-23.4425,-58.4438,689,155,10
2020/05/09 22:32:32+00,213,,Peru,-9.19,-75.0152,65015,20246,1814
2020/05/09 22:32:32+00,214,,Philippines,12.879721,121.774017,10610,1842,704
2020/05/09 22:32:32+00,215,,Poland,51.9194,19.1451,15651,5437,785
2020/05/09 22:32:32+00,216,,Portugal,39.3999,-8.2245,27406,2499,1126
2020/05/09 22:32:32+00,217,,Qatar,25.3548,51.1839,21331,2449,13
2020/05/09 22:32:32+00,218,,Romania,45.9432,24.9668,15131,6912,939
2020/05/09 22:32:32+00,219,,Russia,61.52401,105.318756,198676,31916,1827
2020/05/09 22:32:32+00,220,,Rwanda,-1.9403,29.8739,280,140,0
2020/05/09 22:32:32+00,221,,Saint Kitts and Nevis,17.357822,-62.782998,15,13,0
2020/05/09 22:32:32+00,222,,Saint Lucia,13.9094,-60.9789,18,17,0
2020/05/09 22:32:32+00,223,,Saint Vincent and the Grenadines,12.9843,-61.2872,17,9,0
